date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:54	151319/151319	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2018:16:54%20GMT	https://aaai.org/conference/spring-symposia/sss24/	C:/My%20Web%20Sites/website/aaai.org/conference/spring-symposia/sss24/index.html	(from )
14:16:54	166/166	---M--	200	added ('OK')	text/plain	date:Wed,%2008%20May%202024%2018:16:53%20GMT	https://aaai.org/robots.txt		(from )
14:16:55	45481/45481	---MCZ	200	added ('OK')	text/css	etag:W/%2264356e63-b1a9%22	https://aaai.org/wp-content/plugins/genesis-blocks/dist/style-blocks.build.css?ver=1681223267	C:/My%20Web%20Sites/website/aaai.org/wp-content/plugins/genesis-blocks/dist/style-blocks.build9b70.css	(from https://aaai.org/conference/spring-symposia/sss24/)
14:16:55	46849/46849	---MCZ	200	added ('OK')	text/css	etag:W/%226573554b-b701%22	https://aaai.org/wp-content/themes/genesis-sample/style.css?ver=3.4.1	C:/My%20Web%20Sites/website/aaai.org/wp-content/themes/genesis-sample/style5589.css	(from https://aaai.org/conference/spring-symposia/sss24/)
14:16:55	110147/110147	---MCZ	200	added ('OK')	text/css	etag:W/%2265b15ec4-1ae43%22	https://aaai.org/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/website/aaai.org/wp-includes/css/dist/block-library/style.min84fc.css	(from https://aaai.org/conference/spring-symposia/sss24/)
14:16:55	98/98	---M--	200	added ('OK')	text/css	etag:%2263bd3e6f-62%22	https://aaai.org/wp-content/plugins/aaai/public/css/aaai-public.css?ver=1.0.0	C:/My%20Web%20Sites/website/aaai.org/wp-content/plugins/aaai/public/css/aaai-public8a54.css	(from https://aaai.org/conference/spring-symposia/sss24/)
14:16:55	98/98	---M--	200	added ('OK')	text/css	etag:%2263bd3e6f-62%22	https://aaai.org/wp-content/plugins/cookie-law-info-controls/public/css/cookie-law-info-controls-public.css?ver=1.0.0	C:/My%20Web%20Sites/website/aaai.org/wp-content/plugins/cookie-law-info-controls/public/css/cookie-law-info-controls-public8a54.css	(from https://aaai.org/conference/spring-symposia/sss24/)
14:16:55	3106/3106	---MCZ	200	added ('OK')	text/css	etag:W/%2264357ea9-c22%22	https://aaai.org/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public.css?ver=3.0.8	C:/My%20Web%20Sites/website/aaai.org/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-public6173.css	(from https://aaai.org/conference/spring-symposia/sss24/)
14:16:56	27249/27249	---MCZ	200	added ('OK')	text/css	etag:W/%2264357ea9-6a71%22	https://aaai.org/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr.css?ver=3.0.8	C:/My%20Web%20Sites/website/aaai.org/wp-content/plugins/cookie-law-info/legacy/public/css/cookie-law-info-gdpr6173.css	(from https://aaai.org/conference/spring-symposia/sss24/)
14:16:56	1311/1311	---MCZ	200	added ('OK')	text/css	etag:W/%2264e532dc-51f%22	https://aaai.org/wp-content/uploads/eb-style/reusable-blocks/eb-reusable-40900.min.css?ver=69fafda99a	C:/My%20Web%20Sites/website/aaai.org/wp-content/uploads/eb-style/reusable-blocks/eb-reusable-40900.min4774.css	(from https://aaai.org/conference/spring-symposia/sss24/)
14:16:56	1753/1753	---MCZ	200	added ('OK')	text/css	etag:W/%2263bd3e6f-6d9%22	https://aaai.org/wp-content/plugins/memberclicks-auth/public/css/memberclicks-auth-public.css?ver=2.5.3	C:/My%20Web%20Sites/website/aaai.org/wp-content/plugins/memberclicks-auth/public/css/memberclicks-auth-public91ee.css	(from https://aaai.org/conference/spring-symposia/sss24/)
14:16:56	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22603ffca6-e688%22	https://aaai.org/wp-includes/css/dashicons.min.css?ver=6.4.3	C:/My%20Web%20Sites/website/aaai.org/wp-includes/css/dashicons.min84fc.css	(from https://aaai.org/conference/spring-symposia/sss24/)
